SampleID,Index,OlinkID,UniProt,Assay,MissingFreq,Panel,Panel_Version,PlateID,QC_Warning,LOD,NPX
Sample_015,15,OID00029,P04114,APOB,0.049,Cardiometabolic,v1.0,Plate_1,PASS,0.41,5.0419
Sample_015,15,OID00030,P02647,APOA1,0.014,Cardiometabolic,v1.0,Plate_1,PASS,0.52,6.9165
Sample_015,15,OID00031,P02649,APOE,0.017,Cardiometabolic,v1.0,Plate_1,PASS,0.54,5.6216
Sample_015,15,OID00032,P05155,SERPING1,0.040,Cardiometabolic,v1.0,Plate_1,PASS,1.41,7.2599
Sample_015,15,OID00033,P02741,CRP,0.019,Cardiometabolic,v1.0,Plate_1,PASS,1.05,6.6877
Sample_015,15,OID00034,P02787,TF,0.041,Cardiometabolic,v1.0,Plate_1,PASS,1.47,5.7565
Sample_015,15,OID00035,P00738,HP,0.014,Cardiometabolic,v1.0,Plate_1,PASS,0.51,7.6011
Sample_015,15,OID00036,P02768,ALB,0.017,Cardiometabolic,v1.0,Plate_1,PASS,1.10,4.2374
Sample_015,15,OID00037,P04217,A1BG,0.010,Cardiometabolic,v1.0,Plate_1,PASS,0.77,3.9201
Sample_015,15,OID00038,P01023,A2M,0.047,Cardiometabolic,v1.0,Plate_1,PASS,0.85,5.4090
Sample_015,15,OID00039,P10909,CLU,0.029,Cardiometabolic,v1.0,Plate_1,PASS,0.96,4.7295
Sample_015,15,OID00040,P01024,C3,0.033,Cardiometabolic,v1.0,Plate_1,PASS,0.44,4.2310
Sample_016,16,OID00001,P05231,IL6,0.021,Inflammation,v1.0,Plate_1,PASS,0.17,4.7024
Sample_016,16,OID00002,P01375,TNF,0.005,Inflammation,v1.0,Plate_1,PASS,1.10,4.5856
Sample_016,16,OID00003,P10145,CXCL8,0.046,Inflammation,v1.0,Plate_1,PASS,0.87,6.8199
Sample_016,16,OID00004,P13232,IL10,0.047,Inflammation,v1.0,Plate_1,PASS,0.67,4.8484
Sample_016,16,OID00005,P01579,IFNG,0.048,Inflammation,v1.0,Plate_1,PASS,0.38,6.2340
Sample_016,16,OID00006,P22301,IL1RL1,0.032,Inflammation,v1.0,Plate_1,PASS,0.55,3.8176
Sample_016,16,OID00007,P05112,IL4,0.027,Inflammation,v1.0,Plate_1,PASS,0.90,5.5438
Sample_016,16,OID00008,P60568,IL2,0.047,Inflammation,v1.0,Plate_1,PASS,1.11,4.6450
Sample_016,16,OID00009,P01374,LTA,0.009,Inflammation,v1.0,Plate_1,PASS,1.34,5.7957
Sample_016,16,OID00010,P29459,IL12A,0.050,Inflammation,v1.0,Plate_1,PASS,1.39,4.5174
Sample_016,16,OID00011,Q16552,IL17A,0.048,Inflammation,v1.0,Plate_1,PASS,1.41,3.6004
Sample_016,16,OID00012,Q9NPH3,IL1A,0.044,Inflammation,v1.0,Plate_1,PASS,1.40,6.0578
Sample_016,16,OID00013,P01583,IL1B,0.049,Inflammation,v1.0,Plate_1,PASS,0.25,8.7401
Sample_016,16,OID00014,P18510,IL1RN,0.049,Inflammation,v1.0,Plate_1,PASS,0.50,5.1131
Sample_016,16,OID00015,P10147,CCL3,0.043,Inflammation,v1.0,Plate_1,PASS,1.41,3.3138
Sample_016,16,OID00016,P13236,CCL4,0.010,Inflammation,v1.0,Plate_1,PASS,0.76,4.5296
Sample_016,16,OID00017,P13501,CCL5,0.013,Inflammation,v1.0,Plate_1,PASS,0.74,5.6787
Sample_016,16,OID00018,P78556,CCL20,0.037,Inflammation,v1.0,Plate_1,PASS,0.36,5.5808
Sample_016,16,OID00019,P02778,CXCL10,0.009,Inflammation,v1.0,Plate_1,PASS,1.16,7.2922
Sample_016,16,OID00020,Q07325,CXCL9,0.045,Inflammation,v1.0,Plate_1,PASS,1.30,3.1205
Sample_016,16,OID00021,P09341,GRO1,0.033,Inflammation,v1.0,Plate_1,PASS,0.22,5.8396
Sample_016,16,OID00022,P01137,TGFB1,0.007,Inflammation,v1.0,Plate_1,PASS,0.36,3.4019
Sample_016,16,OID00023,P09038,FGF2,0.012,Cardiometabolic,v1.0,Plate_1,PASS,0.47,4.4947
Sample_016,16,OID00024,P15692,VEGFA,0.048,Cardiometabolic,v1.0,Plate_1,PASS,1.16,6.0137
Sample_016,16,OID00025,P01189,POMC,0.033,Cardiometabolic,v1.0,Plate_1,PASS,0.12,4.2295
Sample_016,16,OID00026,P01308,INS,0.003,Cardiometabolic,v1.0,Plate_1,PASS,1.07,7.2762
Sample_016,16,OID00027,P01258,CALCA,0.025,Cardiometabolic,v1.0,Plate_1,PASS,0.67,5.9458
Sample_016,16,OID00028,P06858,LPL,0.035,Cardiometabolic,v1.0,Plate_1,PASS,1.35,5.8686
Sample_016,16,OID00029,P04114,APOB,0.015,Cardiometabolic,v1.0,Plate_1,PASS,1.38,4.7197
Sample_016,16,OID00030,P02647,APOA1,0.011,Cardiometabolic,v1.0,Plate_1,PASS,0.96,5.6953
Sample_016,16,OID00031,P02649,APOE,0.030,Cardiometabolic,v1.0,Plate_1,PASS,1.15,5.5778
Sample_016,16,OID00032,P05155,SERPING1,0.027,Cardiometabolic,v1.0,Plate_1,PASS,0.68,5.6437
Sample_016,16,OID00033,P02741,CRP,0.011,Cardiometabolic,v1.0,Plate_1,PASS,1.03,4.9684
Sample_016,16,OID00034,P02787,TF,0.038,Cardiometabolic,v1.0,Plate_1,PASS,0.45,5.3395
Sample_016,16,OID00035,P00738,HP,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.73,5.4332
Sample_016,16,OID00036,P02768,ALB,0.028,Cardiometabolic,v1.0,Plate_1,PASS,0.21,4.5565
Sample_016,16,OID00037,P04217,A1BG,0.029,Cardiometabolic,v1.0,Plate_1,PASS,0.81,6.7489
Sample_016,16,OID00038,P01023,A2M,0.016,Cardiometabolic,v1.0,Plate_1,PASS,0.31,5.7149
Sample_016,16,OID00039,P10909,CLU,0.029,Cardiometabolic,v1.0,Plate_1,PASS,0.39,4.2604
Sample_016,16,OID00040,P01024,C3,0.026,Cardiometabolic,v1.0,Plate_1,PASS,0.23,4.9050
Sample_017,17,OID00001,P05231,IL6,0.023,Inflammation,v1.0,Plate_1,PASS,0.82,7.3943
Sample_017,17,OID00002,P01375,TNF,0.023,Inflammation,v1.0,Plate_1,PASS,0.18,3.4621
Sample_017,17,OID00003,P10145,CXCL8,0.041,Inflammation,v1.0,Plate_1,PASS,0.65,7.6416
Sample_017,17,OID00004,P13232,IL10,0.029,Inflammation,v1.0,Plate_1,PASS,1.14,2.7477
Sample_017,17,OID00005,P01579,IFNG,0.050,Inflammation,v1.0,Plate_1,PASS,0.19,6.3233
Sample_017,17,OID00006,P22301,IL1RL1,0.003,Inflammation,v1.0,Plate_1,PASS,1.41,5.3871
Sample_017,17,OID00007,P05112,IL4,0.038,Inflammation,v1.0,Plate_1,PASS,0.67,5.3484
Sample_017,17,OID00008,P60568,IL2,0.049,Inflammation,v1.0,Plate_1,PASS,1.17,4.8460
Sample_017,17,OID00009,P01374,LTA,0.019,Inflammation,v1.0,Plate_1,PASS,1.49,4.0467
Sample_017,17,OID00010,P29459,IL12A,0.045,Inflammation,v1.0,Plate_1,PASS,1.32,3.7569
Sample_017,17,OID00011,Q16552,IL17A,0.027,Inflammation,v1.0,Plate_1,PASS,1.03,3.3863
Sample_017,17,OID00012,Q9NPH3,IL1A,0.017,Inflammation,v1.0,Plate_1,PASS,1.01,6.6006
Sample_017,17,OID00013,P01583,IL1B,0.036,Inflammation,v1.0,Plate_1,PASS,0.84,7.6090
Sample_017,17,OID00014,P18510,IL1RN,0.000,Inflammation,v1.0,Plate_1,PASS,0.41,6.6773
Sample_017,17,OID00015,P10147,CCL3,0.027,Inflammation,v1.0,Plate_1,PASS,1.04,6.2499
Sample_017,17,OID00016,P13236,CCL4,0.041,Inflammation,v1.0,Plate_1,PASS,0.84,5.1798
Sample_017,17,OID00017,P13501,CCL5,0.047,Inflammation,v1.0,Plate_1,PASS,0.49,5.0216
Sample_017,17,OID00018,P78556,CCL20,0.006,Inflammation,v1.0,Plate_1,PASS,1.12,6.3826
Sample_017,17,OID00019,P02778,CXCL10,0.044,Inflammation,v1.0,Plate_1,PASS,1.17,7.3709
Sample_017,17,OID00020,Q07325,CXCL9,0.010,Inflammation,v1.0,Plate_1,PASS,0.12,3.5442
Sample_017,17,OID00021,P09341,GRO1,0.035,Inflammation,v1.0,Plate_1,PASS,0.94,5.3159
Sample_017,17,OID00022,P01137,TGFB1,0.037,Inflammation,v1.0,Plate_1,PASS,0.17,5.2322
Sample_017,17,OID00023,P09038,FGF2,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.40,4.1041
Sample_017,17,OID00024,P15692,VEGFA,0.025,Cardiometabolic,v1.0,Plate_1,PASS,0.18,5.6316
Sample_017,17,OID00025,P01189,POMC,0.016,Cardiometabolic,v1.0,Plate_1,PASS,1.12,4.3262
Sample_017,17,OID00026,P01308,INS,0.034,Cardiometabolic,v1.0,Plate_1,PASS,0.94,7.6755
Sample_017,17,OID00027,P01258,CALCA,0.033,Cardiometabolic,v1.0,Plate_1,PASS,0.30,4.4539
Sample_017,17,OID00028,P06858,LPL,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.41,6.1481
Sample_017,17,OID00029,P04114,APOB,0.046,Cardiometabolic,v1.0,Plate_1,PASS,1.33,8.3890
Sample_017,17,OID00030,P02647,APOA1,0.021,Cardiometabolic,v1.0,Plate_1,PASS,0.98,6.3654
Sample_017,17,OID00031,P02649,APOE,0.034,Cardiometabolic,v1.0,Plate_1,PASS,1.42,0.9844
Sample_017,17,OID00032,P05155,SERPING1,0.016,Cardiometabolic,v1.0,Plate_1,PASS,1.20,5.1105
Sample_017,17,OID00033,P02741,CRP,0.038,Cardiometabolic,v1.0,Plate_1,PASS,0.63,6.0624
Sample_017,17,OID00034,P02787,TF,0.042,Cardiometabolic,v1.0,Plate_1,PASS,0.76,5.4280
Sample_017,17,OID00035,P00738,HP,0.046,Cardiometabolic,v1.0,Plate_1,PASS,1.23,4.2628
Sample_017,17,OID00036,P02768,ALB,0.048,Cardiometabolic,v1.0,Plate_1,PASS,0.89,7.2337
Sample_017,17,OID00037,P04217,A1BG,0.010,Cardiometabolic,v1.0,Plate_1,PASS,0.44,4.2467
Sample_017,17,OID00038,P01023,A2M,0.046,Cardiometabolic,v1.0,Plate_1,PASS,1.01,4.7165
Sample_017,17,OID00039,P10909,CLU,0.010,Cardiometabolic,v1.0,Plate_1,PASS,1.11,5.3787
Sample_017,17,OID00040,P01024,C3,0.034,Cardiometabolic,v1.0,Plate_1,PASS,0.48,4.4585
Sample_018,18,OID00001,P05231,IL6,0.038,Inflammation,v1.0,Plate_1,PASS,0.36,4.3651
Sample_018,18,OID00002,P01375,TNF,0.028,Inflammation,v1.0,Plate_1,PASS,1.11,3.1617
Sample_018,18,OID00003,P10145,CXCL8,0.048,Inflammation,v1.0,Plate_1,PASS,0.57,3.7983
Sample_018,18,OID00004,P13232,IL10,0.047,Inflammation,v1.0,Plate_1,PASS,0.12,5.3908
Sample_018,18,OID00005,P01579,IFNG,0.024,Inflammation,v1.0,Plate_1,PASS,1.50,5.7282
Sample_018,18,OID00006,P22301,IL1RL1,0.030,Inflammation,v1.0,Plate_1,PASS,0.44,4.8231
Sample_018,18,OID00007,P05112,IL4,0.039,Inflammation,v1.0,Plate_1,PASS,0.87,5.9393
Sample_018,18,OID00008,P60568,IL2,0.027,Inflammation,v1.0,Plate_1,PASS,0.63,8.1965
Sample_018,18,OID00009,P01374,LTA,0.025,Inflammation,v1.0,Plate_1,PASS,0.82,4.2596
Sample_018,18,OID00010,P29459,IL12A,0.049,Inflammation,v1.0,Plate_1,PASS,0.24,5.9035
Sample_018,18,OID00011,Q16552,IL17A,0.019,Inflammation,v1.0,Plate_1,PASS,1.38,2.1822
Sample_018,18,OID00012,Q9NPH3,IL1A,0.028,Inflammation,v1.0,Plate_1,PASS,0.68,5.5469
Sample_018,18,OID00013,P01583,IL1B,0.047,Inflammation,v1.0,Plate_1,PASS,0.47,6.9512
Sample_018,18,OID00014,P18510,IL1RN,0.021,Inflammation,v1.0,Plate_1,PASS,0.91,5.8288
Sample_018,18,OID00015,P10147,CCL3,0.042,Inflammation,v1.0,Plate_1,PASS,0.63,5.7723
Sample_018,18,OID00016,P13236,CCL4,0.033,Inflammation,v1.0,Plate_1,PASS,0.80,6.0976
Sample_018,18,OID00017,P13501,CCL5,0.048,Inflammation,v1.0,Plate_1,PASS,1.25,4.5395
Sample_018,18,OID00018,P78556,CCL20,0.025,Inflammation,v1.0,Plate_1,PASS,1.00,3.9386
Sample_018,18,OID00019,P02778,CXCL10,0.036,Inflammation,v1.0,Plate_1,PASS,0.34,8.1123
Sample_018,18,OID00020,Q07325,CXCL9,0.046,Inflammation,v1.0,Plate_1,PASS,0.78,7.3256
Sample_018,18,OID00021,P09341,GRO1,0.002,Inflammation,v1.0,Plate_1,PASS,0.18,2.9254
Sample_018,18,OID00022,P01137,TGFB1,0.047,Inflammation,v1.0,Plate_1,PASS,1.29,4.4376
Sample_018,18,OID00023,P09038,FGF2,0.042,Cardiometabolic,v1.0,Plate_1,PASS,0.68,3.7464
Sample_018,18,OID00024,P15692,VEGFA,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.42,2.7791
Sample_018,18,OID00025,P01189,POMC,0.031,Cardiometabolic,v1.0,Plate_1,PASS,0.62,6.7778
Sample_018,18,OID00026,P01308,INS,0.031,Cardiometabolic,v1.0,Plate_1,PASS,1.03,5.1022
Sample_018,18,OID00027,P01258,CALCA,0.028,Cardiometabolic,v1.0,Plate_1,PASS,0.11,3.2744
Sample_018,18,OID00028,P06858,LPL,0.026,Cardiometabolic,v1.0,Plate_1,PASS,0.12,5.1828
Sample_018,18,OID00029,P04114,APOB,0.041,Cardiometabolic,v1.0,Plate_1,PASS,0.12,4.3603
Sample_018,18,OID00030,P02647,APOA1,0.040,Cardiometabolic,v1.0,Plate_1,PASS,1.04,9.0818
Sample_018,18,OID00031,P02649,APOE,0.007,Cardiometabolic,v1.0,Plate_1,PASS,0.23,5.6020
Sample_018,18,OID00032,P05155,SERPING1,0.026,Cardiometabolic,v1.0,Plate_1,PASS,0.37,4.6167
Sample_018,18,OID00033,P02741,CRP,0.019,Cardiometabolic,v1.0,Plate_1,PASS,0.66,7.2713
Sample_018,18,OID00034,P02787,TF,0.028,Cardiometabolic,v1.0,Plate_1,PASS,0.67,3.9148
Sample_018,18,OID00035,P00738,HP,0.042,Cardiometabolic,v1.0,Plate_1,PASS,1.06,6.0713
Sample_018,18,OID00036,P02768,ALB,0.043,Cardiometabolic,v1.0,Plate_1,PASS,1.02,4.9342
Sample_018,18,OID00037,P04217,A1BG,0.028,Cardiometabolic,v1.0,Plate_1,PASS,0.63,5.0400
Sample_018,18,OID00038,P01023,A2M,0.000,Cardiometabolic,v1.0,Plate_1,PASS,0.18,4.3366
Sample_018,18,OID00039,P10909,CLU,0.039,Cardiometabolic,v1.0,Plate_1,PASS,0.71,5.8372
Sample_018,18,OID00040,P01024,C3,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.89,6.5547
Sample_019,19,OID00001,P05231,IL6,0.011,Inflammation,v1.0,Plate_1,PASS,0.16,8.3182
Sample_019,19,OID00002,P01375,TNF,0.044,Inflammation,v1.0,Plate_1,PASS,1.32,6.0368
Sample_019,19,OID00003,P10145,CXCL8,0.046,Inflammation,v1.0,Plate_1,PASS,0.20,6.3423
Sample_019,19,OID00004,P13232,IL10,0.028,Inflammation,v1.0,Plate_1,PASS,1.36,5.0710
Sample_019,19,OID00005,P01579,IFNG,0.048,Inflammation,v1.0,Plate_1,PASS,0.54,8.3745
Sample_019,19,OID00006,P22301,IL1RL1,0.038,Inflammation,v1.0,Plate_1,PASS,0.92,5.7077
Sample_019,19,OID00007,P05112,IL4,0.008,Inflammation,v1.0,Plate_1,PASS,0.21,4.6490
Sample_019,19,OID00008,P60568,IL2,0.042,Inflammation,v1.0,Plate_1,PASS,0.44,3.5294
Sample_019,19,OID00009,P01374,LTA,0.038,Inflammation,v1.0,Plate_1,PASS,0.56,2.5490
Sample_019,19,OID00010,P29459,IL12A,0.049,Inflammation,v1.0,Plate_1,PASS,0.30,7.0496
Sample_019,19,OID00011,Q16552,IL17A,0.003,Inflammation,v1.0,Plate_1,PASS,1.46,4.7142
Sample_019,19,OID00012,Q9NPH3,IL1A,0.042,Inflammation,v1.0,Plate_1,PASS,0.71,3.2551
Sample_019,19,OID00013,P01583,IL1B,0.020,Inflammation,v1.0,Plate_1,PASS,1.44,5.4160
Sample_019,19,OID00014,P18510,IL1RN,0.001,Inflammation,v1.0,Plate_1,PASS,1.18,7.1630
Sample_019,19,OID00015,P10147,CCL3,0.018,Inflammation,v1.0,Plate_1,PASS,0.79,4.3139
Sample_019,19,OID00016,P13236,CCL4,0.022,Inflammation,v1.0,Plate_1,PASS,1.42,9.6475
Sample_019,19,OID00017,P13501,CCL5,0.031,Inflammation,v1.0,Plate_1,PASS,0.22,4.0572
Sample_019,19,OID00018,P78556,CCL20,0.036,Inflammation,v1.0,Plate_1,PASS,1.22,3.0063
Sample_019,19,OID00019,P02778,CXCL10,0.032,Inflammation,v1.0,Plate_1,PASS,1.10,7.5554
Sample_019,19,OID00020,Q07325,CXCL9,0.016,Inflammation,v1.0,Plate_1,PASS,1.14,5.4280
Sample_019,19,OID00021,P09341,GRO1,0.018,Inflammation,v1.0,Plate_1,PASS,0.53,5.1201
Sample_019,19,OID00022,P01137,TGFB1,0.007,Inflammation,v1.0,Plate_1,PASS,0.48,5.0950
Sample_019,19,OID00023,P09038,FGF2,0.020,Cardiometabolic,v1.0,Plate_1,PASS,0.88,5.6276
Sample_019,19,OID00024,P15692,VEGFA,0.018,Cardiometabolic,v1.0,Plate_1,PASS,0.14,6.5123
Sample_019,19,OID00025,P01189,POMC,0.019,Cardiometabolic,v1.0,Plate_1,PASS,0.55,6.6887
Sample_019,19,OID00026,P01308,INS,0.019,Cardiometabolic,v1.0,Plate_1,PASS,0.51,6.1179
Sample_019,19,OID00027,P01258,CALCA,0.049,Cardiometabolic,v1.0,Plate_1,PASS,1.37,7.7806
Sample_019,19,OID00028,P06858,LPL,0.008,Cardiometabolic,v1.0,Plate_1,PASS,0.90,6.6374
Sample_019,19,OID00029,P04114,APOB,0.025,Cardiometabolic,v1.0,Plate_1,PASS,0.52,4.3996
Sample_019,19,OID00030,P02647,APOA1,0.022,Cardiometabolic,v1.0,Plate_1,PASS,0.19,5.5587
Sample_019,19,OID00031,P02649,APOE,0.013,Cardiometabolic,v1.0,Plate_1,PASS,0.21,3.4817
Sample_019,19,OID00032,P05155,SERPING1,0.031,Cardiometabolic,v1.0,Plate_1,PASS,0.45,5.8211
Sample_019,19,OID00033,P02741,CRP,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.25,5.9774
Sample_019,19,OID00034,P02787,TF,0.017,Cardiometabolic,v1.0,Plate_1,PASS,1.43,4.4500
Sample_019,19,OID00035,P00738,HP,0.017,Cardiometabolic,v1.0,Plate_1,PASS,0.56,3.0279
Sample_019,19,OID00036,P02768,ALB,0.043,Cardiometabolic,v1.0,Plate_1,PASS,1.24,3.1436
Sample_019,19,OID00037,P04217,A1BG,0.047,Cardiometabolic,v1.0,Plate_1,PASS,0.55,5.8008
Sample_019,19,OID00038,P01023,A2M,0.016,Cardiometabolic,v1.0,Plate_1,PASS,0.38,4.8692
Sample_019,19,OID00039,P10909,CLU,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.51,8.8513
Sample_019,19,OID00040,P01024,C3,0.029,Cardiometabolic,v1.0,Plate_1,PASS,0.79,4.1283
Sample_020,20,OID00001,P05231,IL6,0.020,Inflammation,v1.0,Plate_1,PASS,1.24,6.8693
Sample_020,20,OID00002,P01375,TNF,0.028,Inflammation,v1.0,Plate_1,PASS,0.26,6.4553
Sample_020,20,OID00003,P10145,CXCL8,0.028,Inflammation,v1.0,Plate_1,PASS,1.05,5.2235
Sample_020,20,OID00004,P13232,IL10,0.023,Inflammation,v1.0,Plate_1,PASS,1.43,3.9683
Sample_020,20,OID00005,P01579,IFNG,0.035,Inflammation,v1.0,Plate_1,PASS,0.51,4.5833
Sample_020,20,OID00006,P22301,IL1RL1,0.040,Inflammation,v1.0,Plate_1,PASS,1.25,3.4434
Sample_020,20,OID00007,P05112,IL4,0.012,Inflammation,v1.0,Plate_1,PASS,0.99,3.5154
Sample_020,20,OID00008,P60568,IL2,0.036,Inflammation,v1.0,Plate_1,PASS,1.02,5.9534
Sample_020,20,OID00009,P01374,LTA,0.024,Inflammation,v1.0,Plate_1,PASS,1.49,5.1429
Sample_020,20,OID00010,P29459,IL12A,0.025,Inflammation,v1.0,Plate_1,PASS,0.66,4.4296
Sample_020,20,OID00011,Q16552,IL17A,0.040,Inflammation,v1.0,Plate_1,PASS,0.86,7.0192
Sample_020,20,OID00012,Q9NPH3,IL1A,0.045,Inflammation,v1.0,Plate_1,PASS,0.60,3.8964
Sample_020,20,OID00013,P01583,IL1B,0.038,Inflammation,v1.0,Plate_1,PASS,0.22,4.7184
Sample_020,20,OID00014,P18510,IL1RN,0.018,Inflammation,v1.0,Plate_1,PASS,1.02,4.5085
Sample_020,20,OID00015,P10147,CCL3,0.034,Inflammation,v1.0,Plate_1,PASS,1.48,4.7278
Sample_020,20,OID00016,P13236,CCL4,0.038,Inflammation,v1.0,Plate_1,PASS,0.66,4.6398
Sample_020,20,OID00017,P13501,CCL5,0.013,Inflammation,v1.0,Plate_1,PASS,0.11,6.5548
Sample_020,20,OID00018,P78556,CCL20,0.026,Inflammation,v1.0,Plate_1,PASS,0.81,4.6598
Sample_020,20,OID00019,P02778,CXCL10,0.020,Inflammation,v1.0,Plate_1,PASS,0.72,5.0830
Sample_020,20,OID00020,Q07325,CXCL9,0.029,Inflammation,v1.0,Plate_1,PASS,1.18,4.0488
Sample_020,20,OID00021,P09341,GRO1,0.005,Inflammation,v1.0,Plate_1,PASS,0.13,3.6202
Sample_020,20,OID00022,P01137,TGFB1,0.048,Inflammation,v1.0,Plate_1,PASS,0.68,4.9960
Sample_020,20,OID00023,P09038,FGF2,0.016,Cardiometabolic,v1.0,Plate_1,PASS,0.30,7.6585
Sample_020,20,OID00024,P15692,VEGFA,0.010,Cardiometabolic,v1.0,Plate_1,PASS,0.74,7.3757
Sample_020,20,OID00025,P01189,POMC,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.71,3.3041
Sample_020,20,OID00026,P01308,INS,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.55,5.1826
Sample_020,20,OID00027,P01258,CALCA,0.032,Cardiometabolic,v1.0,Plate_1,PASS,1.29,5.2739
Sample_020,20,OID00028,P06858,LPL,0.008,Cardiometabolic,v1.0,Plate_1,PASS,1.05,4.3107
Sample_020,20,OID00029,P04114,APOB,0.008,Cardiometabolic,v1.0,Plate_1,PASS,0.34,6.1160
Sample_020,20,OID00030,P02647,APOA1,0.048,Cardiometabolic,v1.0,Plate_1,PASS,0.88,4.8867
Sample_020,20,OID00031,P02649,APOE,0.032,Cardiometabolic,v1.0,Plate_1,PASS,0.36,5.1739
Sample_020,20,OID00032,P05155,SERPING1,0.001,Cardiometabolic,v1.0,Plate_1,PASS,0.70,6.5187
Sample_020,20,OID00033,P02741,CRP,0.019,Cardiometabolic,v1.0,Plate_1,PASS,0.93,6.0503
Sample_020,20,OID00034,P02787,TF,0.010,Cardiometabolic,v1.0,Plate_1,PASS,1.09,4.3465
Sample_020,20,OID00035,P00738,HP,0.005,Cardiometabolic,v1.0,Plate_1,PASS,0.19,5.0399
Sample_020,20,OID00036,P02768,ALB,0.009,Cardiometabolic,v1.0,Plate_1,PASS,1.32,2.2720
Sample_020,20,OID00037,P04217,A1BG,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.47,4.2377
Sample_020,20,OID00038,P01023,A2M,0.032,Cardiometabolic,v1.0,Plate_1,PASS,0.84,6.4735
Sample_020,20,OID00039,P10909,CLU,0.017,Cardiometabolic,v1.0,Plate_1,PASS,0.92,3.3089
Sample_020,20,OID00040,P01024,C3,0.031,Cardiometabolic,v1.0,Plate_1,PASS,1.28,3.8199
Sample_021,21,OID00001,P05231,IL6,0.031,Inflammation,v1.0,Plate_1,PASS,0.52,7.7150
Sample_021,21,OID00002,P01375,TNF,0.007,Inflammation,v1.0,Plate_1,PASS,0.22,2.8387
Sample_021,21,OID00003,P10145,CXCL8,0.035,Inflammation,v1.0,Plate_1,PASS,0.36,7.7452
Sample_021,21,OID00004,P13232,IL10,0.021,Inflammation,v1.0,Plate_1,PASS,0.82,5.8640
Sample_021,21,OID00005,P01579,IFNG,0.032,Inflammation,v1.0,Plate_1,PASS,0.36,5.9559
Sample_021,21,OID00006,P22301,IL1RL1,0.032,Inflammation,v1.0,Plate_1,PASS,1.07,6.1245
Sample_021,21,OID00007,P05112,IL4,0.007,Inflammation,v1.0,Plate_1,PASS,0.79,6.9086
Sample_021,21,OID00008,P60568,IL2,0.023,Inflammation,v1.0,Plate_1,PASS,0.54,4.9988
Sample_021,21,OID00009,P01374,LTA,0.007,Inflammation,v1.0,Plate_1,PASS,0.11,6.3352
Sample_021,21,OID00010,P29459,IL12A,0.048,Inflammation,v1.0,Plate_1,PASS,1.24,5.4676
Sample_021,21,OID00011,Q16552,IL17A,0.021,Inflammation,v1.0,Plate_1,PASS,1.06,3.2477
Sample_021,21,OID00012,Q9NPH3,IL1A,0.024,Inflammation,v1.0,Plate_1,PASS,1.28,4.9401
Sample_021,21,OID00013,P01583,IL1B,0.015,Inflammation,v1.0,Plate_1,PASS,1.17,7.1260
Sample_021,21,OID00014,P18510,IL1RN,0.027,Inflammation,v1.0,Plate_1,PASS,0.48,5.1864
Sample_021,21,OID00015,P10147,CCL3,0.038,Inflammation,v1.0,Plate_1,PASS,1.14,5.8153
Sample_021,21,OID00016,P13236,CCL4,0.006,Inflammation,v1.0,Plate_1,PASS,0.87,6.4443
Sample_021,21,OID00017,P13501,CCL5,0.018,Inflammation,v1.0,Plate_1,PASS,1.25,6.9523
Sample_021,21,OID00018,P78556,CCL20,0.002,Inflammation,v1.0,Plate_1,PASS,1.25,6.7039
Sample_021,21,OID00019,P02778,CXCL10,0.005,Inflammation,v1.0,Plate_1,PASS,1.49,6.4347
Sample_021,21,OID00020,Q07325,CXCL9,0.038,Inflammation,v1.0,Plate_1,PASS,1.26,3.1497
Sample_021,21,OID00021,P09341,GRO1,0.017,Inflammation,v1.0,Plate_1,PASS,0.73,3.3095
Sample_021,21,OID00022,P01137,TGFB1,0.022,Inflammation,v1.0,Plate_1,PASS,1.24,10.4694
Sample_021,21,OID00023,P09038,FGF2,0.041,Cardiometabolic,v1.0,Plate_1,PASS,0.43,7.5914
Sample_021,21,OID00024,P15692,VEGFA,0.018,Cardiometabolic,v1.0,Plate_1,PASS,0.92,4.9016
Sample_021,21,OID00025,P01189,POMC,0.007,Cardiometabolic,v1.0,Plate_1,PASS,0.33,4.4817
Sample_021,21,OID00026,P01308,INS,0.010,Cardiometabolic,v1.0,Plate_1,PASS,0.39,2.9410
Sample_021,21,OID00027,P01258,CALCA,0.027,Cardiometabolic,v1.0,Plate_1,PASS,0.49,6.2985
Sample_021,21,OID00028,P06858,LPL,0.035,Cardiometabolic,v1.0,Plate_1,PASS,0.55,5.5081
Sample_021,21,OID00029,P04114,APOB,0.049,Cardiometabolic,v1.0,Plate_1,PASS,1.30,4.7106
Sample_021,21,OID00030,P02647,APOA1,0.005,Cardiometabolic,v1.0,Plate_1,PASS,1.05,6.1472
Sample_021,21,OID00031,P02649,APOE,0.050,Cardiometabolic,v1.0,Plate_1,PASS,1.39,7.5611
